id;event_type;message_template;audit_code_id
1;SUCCESS;Обучающая выборка ${relationName} была успешно сохранена;SAVE_INSTANCES
2;SUCCESS;Изменено название для обучающей выборки ${returnValue}. Новое название - ${newName};RENAME_INSTANCES
3;SUCCESS;Обучающая выборка ${returnValue} была удалена;DELETE_INSTANCES
4;SUCCESS;Данные обучающей выборки [${instancesEntity.relationName}] были выгружены в формате [${reportType.extension}];DOWNLOAD_INSTANCES_REPORT
5;SUCCESS;Установлен атрибут класса [${returnValue.attributeName}] для обучающей выборки [${returnValue.instancesEntity.relationName}];SET_CLASS_ATTRIBUTE
6;SUCCESS;Выбран атрибут классификации [${returnValue.attributeName}] для обучающей выборки [${returnValue.instancesEntity.relationName}];SELECT_ATTRIBUTE
7;SUCCESS;Отменен выбор атрибута классификации [${returnValue.attributeName}] для обучающей выборки [${returnValue.instancesEntity.relationName}];UNSELECT_ATTRIBUTE
8;SUCCESS;Выбраны все атрибуты классификации для обучающей выборки [${returnValue.relationName}];SELECT_ALL_ATTRIBUTES
